tool_link,tool_link_host,tool_link_path,stars_count,forks_count,watchers_count,releases_count,size_KB,commit_total_number,last_commit_date,first_commit_date,maintenance_period_days,commit_number_2010_2011,commit_number_2011_2012,commit_number_2012_2013,commit_number_2013_2014,commit_number_2014_2015,commit_number_2015_2016,commit_number_2016_2017,commit_number_2017_2018,commit_number_2018_2019,issues_all_count,issues_open_count,issues_closed_count,pr_all_count,pr_open_count,pr_closed_count,languages,requirements_txt
https://github.com/CosasDePuma/SecurityNotFound,github.com,/CosasDePuma/SecurityNotFound,59,8,59,0,595,42,2019-10-11T23:43:26,2017-07-12T00:15:40,821,0,0,0,0,0,0,0,13,10,4,1,3,1,0,1,{'PHP': 10647},
https://github.com/Cr4sh/PeiBackdoor,github.com,/Cr4sh/PeiBackdoor,136,47,136,0,213,23,2016-08-29T19:31:07,2016-08-28T01:46:26,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,"{'C': 41271, 'Python': 17198, 'Assembly': 269, 'C++': 129}",
https://github.com/CrowdStrike/falcon-orchestrator,github.com,/CrowdStrike/falcon-orchestrator,131,42,131,3,2617,40,2019-03-04T22:13:48,2016-05-24T01:50:23,1014,0,0,0,0,0,0,34,4,1,54,15,39,4,0,4,"{'JavaScript': 1182371, 'C#': 377051, 'HTML': 225138, 'CSS': 190649, 'PowerShell': 13828, 'PLpgSQL': 1726, 'ASP': 112}",
https://github.com/CroweCybersecurity/ad-ldap-enum,github.com,/CroweCybersecurity/ad-ldap-enum,179,45,179,0,70,44,2019-01-09T14:03:54,2015-08-25T19:38:40,1232,0,0,0,0,0,18,15,6,4,20,7,13,8,2,6,{'Python': 23146},
https://github.com/Cyb0r9/ispy,github.com,/Cyb0r9/ispy,101,33,101,0,3430,31,2019-10-01T10:33:39,2019-09-30T19:46:22,0,0,0,0,0,0,0,0,0,0,5,2,3,2,1,1,"{'Python': 34964, 'Shell': 8756}",
https://github.com/Cyb3rWard0g/HELK,github.com,/Cyb3rWard0g/HELK,1828,346,1828,11,333178,439,2019-10-09T04:37:30,2017-03-14T19:14:50,938,0,0,0,0,0,0,0,106,146,367,43,324,82,7,75,"{'CSS': 281297, 'Jupyter Notebook': 276434, 'Shell': 88032, 'Ruby': 15233, 'Dockerfile': 12969}",
https://github.com/Cyb3rWard0g/Invoke-ATTACKAPI,github.com,/Cyb3rWard0g/Invoke-ATTACKAPI,312,82,312,0,3160,27,2019-02-07T13:04:26,2017-08-21T17:36:27,534,0,0,0,0,0,0,0,20,6,4,0,4,0,0,0,{'PowerShell': 82337},
https://github.com/CyberAnalyticDevTeam/SimpleRock,github.com,/CyberAnalyticDevTeam/SimpleRock,337,90,337,9,15499,768,2019-10-03T21:25:04,2015-12-01T22:54:35,1401,0,0,0,0,0,31,141,226,148,504,75,429,224,2,222,"{'Shell': 43324, 'Python': 39380, 'Ruby': 864}","ansible
ansible-lint
flake8
molecule
pyvmomi
testinfra
yamllint"
https://github.com/CyberArkLabs/ACLight,github.com,/CyberArkLabs/ACLight,374,94,374,0,115,67,2019-09-09T06:48:44,2017-05-17T09:29:41,844,0,0,0,0,0,0,0,31,35,7,1,6,0,0,0,"{'PowerShell': 218525, 'Batchfile': 451}",
https://github.com/CyberHatcoil/ACF,github.com,/CyberHatcoil/ACF,26,9,26,2,30,24,2015-12-15T14:45:26,2015-12-05T16:04:05,9,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,{'Python': 17332},"ipwhois==0.11.0
netaddr==0.7.15"
https://github.com/Cyberisltd/Egresser,github.com,/Cyberisltd/Egresser,35,8,35,0,100,5,2013-09-09T17:01:34,2013-08-14T14:57:09,26,0,0,0,5,0,0,0,0,0,2,1,1,0,0,0,{'Perl': 7255},
https://github.com/D35m0nd142/LFISuite,github.com,/D35m0nd142/LFISuite,724,236,724,1,379,85,2018-04-08T12:30:09,2017-06-09T13:38:29,302,0,0,0,0,0,0,0,77,8,17,14,3,2,2,0,{'Python': 98168},
https://github.com/D4Vinci/Cr3dOv3r,github.com,/D4Vinci/Cr3dOv3r,1439,353,1439,0,2047,46,2018-11-03T18:47:18,2017-11-13T20:46:55,354,0,0,0,0,0,0,0,14,32,78,13,65,21,2,19,"{'Python': 13173, 'Dockerfile': 211}","mechanicalsoup >=0.9
requests>=2.18.4
pyOpenSSL>=16.2.0"
https://github.com/D4Vinci/Cuteit,github.com,/D4Vinci/Cuteit,419,114,419,0,316,11,2019-02-04T15:18:08,2016-09-21T13:12:40,866,0,0,0,0,0,0,4,2,1,4,0,4,1,0,1,{'Python': 3452},
https://github.com/D4Vinci/Dr0p1t-Framework,github.com,/D4Vinci/Dr0p1t-Framework,993,323,993,0,7634,44,2018-11-03T19:00:11,2017-02-11T21:21:14,629,0,0,0,0,0,0,0,42,2,6,1,5,6,1,5,"{'Python': 45032, 'HTML': 33794, 'Batchfile': 983, 'Shell': 405, 'Visual Basic': 153, 'PowerShell': 95}",
https://github.com/D4Vinci/One-Lin3r,github.com,/D4Vinci/One-Lin3r,901,186,901,0,2261,58,2019-06-21T23:31:18,2018-01-14T21:06:16,523,0,0,0,0,0,0,0,0,40,20,3,17,13,1,12,{'Python': 69204},
https://github.com/D4Vinci/PasteJacker,github.com,/D4Vinci/PasteJacker,184,37,184,0,982,12,2018-12-01T13:24:41,2018-10-26T21:49:16,35,0,0,0,0,0,0,0,0,12,4,1,3,0,0,0,"{'Python': 18618, 'HTML': 1103}",
https://github.com/DNS-OARC/dnscap,github.com,/DNS-OARC/dnscap,212,50,212,16,954,500,2019-10-03T08:27:17,2007-05-02T18:32:07,4536,13,30,8,25,5,18,104,100,83,204,16,188,147,1,146,"{'C': 465685, 'Python': 57082, 'Roff': 25567, 'Shell': 25436, 'M4': 14698, 'Makefile': 8287, 'Perl': 6706, 'C++': 2091}",
https://github.com/DSheirer/sdrtrunk,github.com,/DSheirer/sdrtrunk,446,91,446,12,28282,975,2019-02-17T19:51:57,2014-04-19T20:36:55,1764,0,0,0,0,98,134,203,302,203,582,144,438,162,1,161,"{'Java': 6311466, 'CSS': 2344}",
https://github.com/DanMcInerney/LANs.py,github.com,/DanMcInerney/LANs.py,2370,481,2370,0,174,148,2018-11-16T14:34:43,2013-05-12T21:13:36,2013,0,0,0,107,39,0,0,1,1,69,16,53,19,3,16,{'Python': 68412},
https://github.com/DanMcInerney/icebreaker,github.com,/DanMcInerney/icebreaker,1022,127,1022,0,186120,226,2018-10-24T18:13:35,2017-12-04T18:49:56,323,0,0,0,0,0,0,0,32,194,21,9,12,2,0,2,"{'PowerShell': 4948867, 'Python': 53468, 'Shell': 2907, 'Dockerfile': 1023}",
https://github.com/DanMcInerney/net-creds,github.com,/DanMcInerney/net-creds,1207,358,1207,0,8185,84,2018-08-07T16:33:55,2015-01-07T18:49:14,1307,0,0,0,0,0,68,2,6,8,32,4,28,16,1,15,{'Python': 37018},"scapy=>2.3.1
wsgiref=>0.1.2"
https://github.com/DanMcInerney/pentest-machine,github.com,/DanMcInerney/pentest-machine,282,88,282,0,320,98,2018-09-07T20:01:18,2015-02-26T23:59:01,1288,0,0,0,0,0,65,16,15,2,3,1,2,1,0,1,"{'Ruby': 33258, 'Python': 25809, 'Shell': 2720}","requests>=2.6.0
requests-futures>=0.9.5
python-libnmap>=0.6.2
selenium
netaddr"
https://github.com/DanMcInerney/wifijammer,github.com,/DanMcInerney/wifijammer,2902,635,2902,0,79,90,2018-06-21T22:10:21,2014-01-26T07:54:39,1607,0,0,0,0,43,16,12,13,6,96,31,65,29,1,28,{'Python': 17748},
https://github.com/DanMcInerney/xsscrapy,github.com,/DanMcInerney/xsscrapy,983,301,983,0,7706,139,2018-03-04T03:39:48,2014-06-23T11:20:23,1349,0,0,0,0,123,7,8,0,1,45,10,35,16,1,15,"{'Python': 81865, 'PHP': 1226}","Scrapy==1.1.0rc3
pybloom==1.1
requests
beautifulsoup
twisted==16.6.0
w3lib
lxml
six
cssselect
pyopenssl
cryptography
queuelib"
